1,Toy Story
2,Jumanji
3,Grumpier Old Men
4,Waiting to Exhale
5,Father of the Bride Part II
6,Heat
7,Sabrina
8,Tom and Huck
9,Sudden Death
10,GoldenEye
11,"American President, The"
12,Dracula: Dead and Loving It
13,Balto
14,Nixon
15,Cutthroat Island
16,Casino
17,Sense and Sensibility
18,Four Rooms
19,Ace Ventura: When Nature Calls
20,Money Train
21,Get Shorty
22,Copycat
23,Assassins
24,Powder
25,Leaving Las Vegas
26,Othello
27,Now and Then
28,Persuasion
29,"City of Lost Children, The"
30,Shanghai Triad
31,Dangerous Minds
32,Twelve Monkeys
33,Wings of Courage
34,Babe
35,Carrington
36,Dead Man Walking
37,Across the Sea of Time
38,It Takes Two
39,Clueless
40,"Cry, the Beloved Country"
41,Richard III
42,Dead Presidents
43,Restoration
44,Mortal Kombat
45,To Die For
46,How to Make an American Quilt
47,Seven
48,Pocahontas
49,When Night Is Falling
50,"Usual Suspects, The"
51,Guardian Angel
52,Mighty Aphrodite
53,Lamerica
54,"Big Green, The"
55,Georgia
56,Kids of the Round Table
57,Home for the Holidays
58,"Postino, Il"
59,"Confessional, The"
60,"Indian in the Cupboard, The"
61,Eye for an Eye
62,Mr. Holland's Opus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64,Two if by Sea
65,Bio
66,Lawnmower Man 2: Beyond Cyberspace
67,Two Bits
68,French Twist
69,Friday
70,From Dusk Till Dawn
71,Fair Game
72,Kicking and Screaming
73,"Misrables, Les"
74,Bed of Roses
75,Big Bully
76,Screamers
77,Nico Icon
78,"Crossing Guard, The"
79,"Juror, The"
80,"White Balloon, The"
81,Things to Do in Denver when You're Dead
82,Antonia's Line
83,Once Upon a Time... When We Were Colored
84,Last Summer in the Hamptons
85,Angels and Insects
86,White Squall
87,Dunston Checks In
88,Black Sheep
89,Nick of Time
90,"Journey of August King, The"
92,Mary Reilly
93,Vampire in Brooklyn
94,Beautiful Girls
95,Broken Arrow
96,In the Bleak Midwinter
97,Hate
98,Shopping
99,Heidi Fleiss: Hollywood Madam
100,City Hall
101,Bottle Rocket
102,Mr. Wrong
103,Unforgettable
104,Happy Gilmore
105,"Bridges of Madison County, The"
106,Nobody Loves Me
107,Muppet Treasure Island
108,Catwalk
109,Headless Body in Topless Bar
110,Braveheart
111,Taxi Driver
112,Rumble in the Bronx
113,Before and After
114,Margaret's Museum
115,Happiness Is in the Field
116,Anne Frank Remembered
117,"Young Poisoner's Handbook, The"
118,If Lucy Fell
119,"Steal Big, Steal Little"
120,Race the Sun
121,"Boys of St. Vincent, The"
122,Boomerang
123,Chungking Express
124,"Star Maker, The"
125,Flirting With Disaster
126,"NeverEnding Story III, The"
127,"Silence of the Palace, The"
128,Jupiter's Wife
129,Pie in the Sky
130,Angela
131,Frankie Starlight
132,Jade
133,Nueba Yol
134,Sonic Outlaws
135,Down Periscope
136,From the Journals of Jean Seberg
137,Man of the Year
138,"Neon Bible, The"
139,Target
140,Up Close and Personal
141,"Birdcage, The"
142,Shadows
143,Gospa
144,"Brothers McMullen, The"
145,Bad Boys
146,"Amazing Panda Adventure, The"
147,"Basketball Diaries, The"
148,"Awfully Big Adventure, An"
149,Amateur
150,Apollo 13
151,Rob Roy
152,"Addiction, The"
153,Batman Forever
154,Belle de jour
155,Beyond Rangoon
156,Blue in the Face
157,Canadian Bacon
158,Casper
159,Clockers
160,Congo
161,Crimson Tide
162,Crumb
163,Desperado
164,Devil in a Blue Dress
165,Die Hard: With a Vengeance
166,"Doom Generation, The"
167,Feast of July
168,First Knight
169,Free Willy 2: The Adventure Home
170,Hackers
171,Jeffrey
172,Johnny Mnemonic
173,Judge Dredd
174,Jury Duty
175,Kids
176,Living in Oblivion
177,Lord of Illusions
178,Love & Human Remains
179,Mad Love
180,Mallrats
181,Mighty Morphin Power Rangers: The Movie
182,Moonlight and Valentino
183,Mute Witness
184,Nadja
185,"Net, The"
186,Nine Months
187,Party Girl
188,"Prophecy, The"
189,Reckless
